"id","Rank"
"02013","Top 20%"
"02016","Top 20%"
"02230","Top 20%"
"02282","Top 20%"
"08037","Top 20%"
"08057","Top 20%"
"15005","Top 20%"
"18179","Top 20%"
"19017","Top 20%"
"19019","Top 20%"
"19031","Top 20%"
"19041","Top 20%"
"19049","Top 20%"
"19055","Top 20%"
"19059","Top 20%"
"19061","Top 20%"
"19063","Top 20%"
"19075","Top 20%"
"19093","Top 20%"
"19095","Top 20%"
"19103","Top 20%"
"19115","Top 20%"
"19119","Top 20%"
"19125","Top 20%"
"19143","Top 20%"
"19157","Top 20%"
"19161","Top 20%"
"19165","Top 20%"
"19167","Top 20%"
"19183","Top 20%"
"19191","Top 20%"
"19193","Top 20%"
"20031","Top 20%"
"20055","Top 20%"
"20069","Top 20%"
"20081","Top 20%"
"20083","Top 20%"
"20089","Top 20%"
"20093","Top 20%"
"20111","Top 20%"
"20113","Top 20%"
"20131","Top 20%"
"20135","Top 20%"
"20143","Top 20%"
"20159","Top 20%"
"20169","Top 20%"
"20179","Top 20%"
"20185","Top 20%"
"20187","Top 20%"
"20193","Top 20%"
"20195","Top 20%"
"20201","Top 20%"
"24013","Top 20%"
"24021","Top 20%"
"25019","Top 20%"
"27003","Top 20%"
"27015","Top 20%"
"27019","Top 20%"
"27023","Top 20%"
"27037","Top 20%"
"27039","Top 20%"
"27045","Top 20%"
"27049","Top 20%"
"27059","Top 20%"
"27063","Top 20%"
"27067","Top 20%"
"27079","Top 20%"
"27081","Top 20%"
"27083","Top 20%"
"27085","Top 20%"
"27089","Top 20%"
"27101","Top 20%"
"27103","Top 20%"
"27105","Top 20%"
"27109","Top 20%"
"27113","Top 20%"
"27129","Top 20%"
"27135","Top 20%"
"27139","Top 20%"
"27141","Top 20%"
"27143","Top 20%"
"27145","Top 20%"
"27157","Top 20%"
"27165","Top 20%"
"27171","Top 20%"
"29183","Top 20%"
"30083","Top 20%"
"31003","Top 20%"
"31019","Top 20%"
"31023","Top 20%"
"31025","Top 20%"
"31027","Top 20%"
"31029","Top 20%"
"31033","Top 20%"
"31037","Top 20%"
"31039","Top 20%"
"31041","Top 20%"
"31043","Top 20%"
"31047","Top 20%"
"31049","Top 20%"
"31051","Top 20%"
"31053","Top 20%"
"31073","Top 20%"
"31079","Top 20%"
"31081","Top 20%"
"31083","Top 20%"
"31089","Top 20%"
"31101","Top 20%"
"31103","Top 20%"
"31107","Top 20%"
"31119","Top 20%"
"31121","Top 20%"
"31131","Top 20%"
"31135","Top 20%"
"31137","Top 20%"
"31141","Top 20%"
"31143","Top 20%"
"31147","Top 20%"
"31151","Top 20%"
"31159","Top 20%"
"31161","Top 20%"
"31171","Top 20%"
"31175","Top 20%"
"31177","Top 20%"
"31179","Top 20%"
"31185","Top 20%"
"33015","Top 20%"
"38003","Top 20%"
"38011","Top 20%"
"38015","Top 20%"
"38017","Top 20%"
"38021","Top 20%"
"38031","Top 20%"
"38033","Top 20%"
"38035","Top 20%"
"38039","Top 20%"
"38045","Top 20%"
"38047","Top 20%"
"38051","Top 20%"
"38059","Top 20%"
"38063","Top 20%"
"38071","Top 20%"
"38073","Top 20%"
"38077","Top 20%"
"38081","Top 20%"
"38089","Top 20%"
"38097","Top 20%"
"38105","Top 20%"
"42109","Top 20%"
"46003","Top 20%"
"46005","Top 20%"
"46011","Top 20%"
"46013","Top 20%"
"46025","Top 20%"
"46029","Top 20%"
"46035","Top 20%"
"46057","Top 20%"
"46061","Top 20%"
"46067","Top 20%"
"46073","Top 20%"
"46077","Top 20%"
"46079","Top 20%"
"46083","Top 20%"
"46099","Top 20%"
"46101","Top 20%"
"46111","Top 20%"
"46115","Top 20%"
"46117","Top 20%"
"46119","Top 20%"
"46123","Top 20%"
"48105","Top 20%"
"48269","Top 20%"
"48345","Top 20%"
"48383","Top 20%"
"51085","Top 20%"
"55011","Top 20%"
"55015","Top 20%"
"55025","Top 20%"
"55045","Top 20%"
"55049","Top 20%"
"55065","Top 20%"
"55073","Top 20%"
"55087","Top 20%"
"55117","Top 20%"
"55119","Top 20%"
"55131","Top 20%"
"56005","Top 20%"
"56019","Top 20%"
"01007","Bottom 20%"
"01023","Bottom 20%"
"01063","Bottom 20%"
"01099","Bottom 20%"
"01107","Bottom 20%"
"01119","Bottom 20%"
"01131","Bottom 20%"
"04001","Bottom 20%"
"04017","Bottom 20%"
"04021","Bottom 20%"
"05065","Bottom 20%"
"05077","Bottom 20%"
"05079","Bottom 20%"
"05089","Bottom 20%"
"06003","Bottom 20%"
"06005","Bottom 20%"
"06009","Bottom 20%"
"06015","Bottom 20%"
"06035","Bottom 20%"
"06091","Bottom 20%"
"06105","Bottom 20%"
"06109","Bottom 20%"
"08011","Bottom 20%"
"08025","Bottom 20%"
"08043","Bottom 20%"
"08055","Bottom 20%"
"12007","Bottom 20%"
"12029","Bottom 20%"
"12039","Bottom 20%"
"12043","Bottom 20%"
"12045","Bottom 20%"
"12047","Bottom 20%"
"12059","Bottom 20%"
"12063","Bottom 20%"
"12079","Bottom 20%"
"12119","Bottom 20%"
"12123","Bottom 20%"
"12125","Bottom 20%"
"12133","Bottom 20%"
"13037","Bottom 20%"
"13053","Bottom 20%"
"13141","Bottom 20%"
"13193","Bottom 20%"
"13205","Bottom 20%"
"13245","Bottom 20%"
"13259","Bottom 20%"
"13269","Bottom 20%"
"13271","Bottom 20%"
"13273","Bottom 20%"
"13309","Bottom 20%"
"13315","Bottom 20%"
"16035","Bottom 20%"
"17069","Bottom 20%"
"17151","Bottom 20%"
"21025","Bottom 20%"
"21043","Bottom 20%"
"21051","Bottom 20%"
"21063","Bottom 20%"
"21095","Bottom 20%"
"21115","Bottom 20%"
"21127","Bottom 20%"
"21129","Bottom 20%"
"21131","Bottom 20%"
"21135","Bottom 20%"
"21143","Bottom 20%"
"21159","Bottom 20%"
"21175","Bottom 20%"
"21189","Bottom 20%"
"21193","Bottom 20%"
"21195","Bottom 20%"
"21203","Bottom 20%"
"21237","Bottom 20%"
"22003","Bottom 20%"
"22035","Bottom 20%"
"22037","Bottom 20%"
"22049","Bottom 20%"
"24039","Bottom 20%"
"26001","Bottom 20%"
"26003","Bottom 20%"
"26053","Bottom 20%"
"26069","Bottom 20%"
"26085","Bottom 20%"
"26119","Bottom 20%"
"26129","Bottom 20%"
"26131","Bottom 20%"
"26135","Bottom 20%"
"26141","Bottom 20%"
"26143","Bottom 20%"
"26153","Bottom 20%"
"28001","Bottom 20%"
"28041","Bottom 20%"
"28051","Bottom 20%"
"28055","Bottom 20%"
"28063","Bottom 20%"
"28119","Bottom 20%"
"28133","Bottom 20%"
"28135","Bottom 20%"
"28163","Bottom 20%"
"29085","Bottom 20%"
"29175","Bottom 20%"
"29215","Bottom 20%"
"30089","Bottom 20%"
"32027","Bottom 20%"
"35003","Bottom 20%"
"35035","Bottom 20%"
"35047","Bottom 20%"
"35057","Bottom 20%"
"36041","Bottom 20%"
"37039","Bottom 20%"
"37091","Bottom 20%"
"37177","Bottom 20%"
"37185","Bottom 20%"
"39001","Bottom 20%"
"39121","Bottom 20%"
"40005","Bottom 20%"
"40107","Bottom 20%"
"42053","Bottom 20%"
"42119","Bottom 20%"
"45005","Bottom 20%"
"45027","Bottom 20%"
"45061","Bottom 20%"
"45065","Bottom 20%"
"45089","Bottom 20%"
"46102","Bottom 20%"
"47005","Bottom 20%"
"47013","Bottom 20%"
"47095","Bottom 20%"
"47109","Bottom 20%"
"47121","Bottom 20%"
"47129","Bottom 20%"
"48025","Bottom 20%"
"48095","Bottom 20%"
"48099","Bottom 20%"
"48169","Bottom 20%"
"48253","Bottom 20%"
"48297","Bottom 20%"
"48405","Bottom 20%"
"48489","Bottom 20%"
"51027","Bottom 20%"
"51081","Bottom 20%"
"51105","Bottom 20%"
"51149","Bottom 20%"
"51183","Bottom 20%"
"53019","Bottom 20%"
"54017","Bottom 20%"
"54021","Bottom 20%"
"54047","Bottom 20%"
"54053","Bottom 20%"
"54087","Bottom 20%"
"54089","Bottom 20%"
"54099","Bottom 20%"
"54103","Bottom 20%"
